ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,Flour - Whole Wheat,74.2988,3,Medium,2/16/2018,Durable,Unknown,0
2,Cookie Chocolate Chip With,91.2329,3,Medium,2/12/2017,Unknown,Unknown,0
3,Onions - Cippolini,9.1379,9,Medium,3/15/2018,Weak,FALSE,111
4,Sauce - Gravy Au Jus Mix,54.3055,9,Medium,7/16/2017,Durable,Unknown,0
5,Artichokes - Jerusalem,65.4771,2,Low,8/16/2017,Durable,TRUE,27
6,Wine - Magnotta - Cab Sauv,79.7184,8,High,5/25/2017,Unknown,Unknown,0
7,Table Cloth - 53x69 Colour,31.837,9,Medium,2/24/2017,Durable,FALSE,0
8,Halibut - Steaks,89.8573,5,Medium,3/24/2018,Unknown,TRUE,108
9,Rabbit - Whole,84.4219,11,Medium,6/17/2017,Durable,Unknown,0
10,Scampi Tail,95.0957,4,Low,7/30/2017,Weak,TRUE,105
11,Garbage Bags - Clear,6.2949,9,Low,1/5/2017,Durable,TRUE,67
12,Ezy Change Mophandle,49.3356,4,Medium,11/1/2017,Durable,TRUE,0
13,Water Tap,28.2232,11,Low,1/16/2017,Durable,FALSE,69
14,Beef - Top Sirloin,3.3324,7,Medium,2/26/2017,Durable,TRUE,0
15,Spoon - Soup Plastic,32.442,1,Low,3/3/2017,Weak,TRUE,0
16,Kellogs Special K Cereal,54.7246,2,Low,1/23/2017,Durable,TRUE,0
17,Wine - White Mosel Gold,43.9182,10,Medium,3/1/2017,Unknown,Unknown,0
18,Lamb - Whole Fresh,23.3966,10,Medium,12/19/2017,Unknown,FALSE,0
19,Tea - Earl Grey,22.5614,3,Medium,6/14/2017,Weak,TRUE,94
20,Chocolate - Feathers,85.9011,3,Low,7/21/2017,Durable,TRUE,0
21,Kiwi,46.7252,7,High,5/9/2018,Durable,Unknown,0
22,Rice - Jasmine Sented,27.8955,6,Medium,5/9/2017,Weak,Unknown,48
23,Crab - Imitation Flakes,79.0184,11,Medium,8/19/2017,Durable,TRUE,0
24,Beer - Alexander Kieths Pale Ale,89.037,3,Medium,5/23/2017,Durable,TRUE,65
25,Soupcontfoam16oz 116con,80.7666,10,High,4/9/2017,Durable,TRUE,0
26,Squid U5 - Thailand,33.7821,11,Medium,3/26/2018,Weak,FALSE,10
27,Chocolate - Compound Coating,17.1724,1,Medium,10/29/2017,Unknown,Unknown,86
28,Sobe - Tropical Energy,12.3153,9,High,10/25/2017,Durable,TRUE,0
29,Spinach - Baby,33.5883,7,Low,8/6/2017,Durable,TRUE,50
30,Cheese - Brie Triple Creme,67.899,6,Low,3/21/2018,Weak,Unknown,72
31,Yeast Dry - Fermipan,73.9851,2,Medium,4/17/2017,Durable,FALSE,0
32,Lettuce - Treviso,96.4127,3,High,1/9/2017,Durable,TRUE,0
33,Beans - Wax,45.5551,10,Medium,2/1/2017,Weak,TRUE,0
34,Mustard Prepared,43.3463,6,Medium,9/21/2017,Weak,Unknown,7
35,Water - Mineral Natural,15.7233,6,Low,10/1/2017,Durable,TRUE,97
36,Table Cloth 54x72 White,69.2574,9,Low,3/4/2018,Durable,TRUE,0
37,Nut - Pistachio Shelled,80.3171,7,Low,2/27/2017,Unknown,FALSE,0
38,Sage - Ground,81.6579,6,High,9/26/2017,Weak,FALSE,0
39,Dried Figs,75.2059,11,Medium,8/4/2017,Weak,FALSE,120
40,Cocktail Napkin Blue,8.9372,8,Low,6/28/2017,Unknown,Unknown,0
41,Cup - 6oz Foam,81.721,7,Medium,3/15/2018,Unknown,TRUE,0
42,Bread - Raisin Walnut Oval,81.0488,1,High,4/1/2018,Weak,FALSE,0
43,Sponge Cake Mix - Chocolate,16.3983,9,High,8/12/2017,Weak,TRUE,96
44,Wine - White Colubia Cresh,48.5981,7,High,4/9/2018,Durable,TRUE,0
45,Beef - Ground Medium,79.5324,4,Medium,3/23/2018,Weak,TRUE,0
46,Lambcasing,86.7915,9,High,7/12/2017,Durable,FALSE,0
47,Thyme - Lemon Fresh,47.1339,9,High,2/16/2018,Weak,FALSE,0
48,Pecan Raisin - Tarts,60.3625,7,Low,11/26/2017,Unknown,Unknown,114
49,Bacardi Breezer - Tropical,61.4317,8,High,1/3/2017,Durable,FALSE,0
50,Pork - Kidney,43.2864,7,High,4/21/2018,Weak,TRUE,0
51,Wine - Crozes Hermitage E.,81.0134,11,Medium,5/16/2017,Unknown,Unknown,0
52,Turnip - White Organic,55.6059,1,Low,6/27/2017,Durable,FALSE,0
53,Cassis,92.6279,8,Medium,2/16/2018,Weak,TRUE,0
54,Liners - Banana Paper,53.5592,9,Medium,6/23/2017,Weak,TRUE,0
55,Cinnamon Buns Sticky,6.6182,3,High,3/5/2018,Unknown,FALSE,85
56,Chips Potato Salt Vinegar 43g,46.4033,9,Low,10/10/2017,Weak,FALSE,0
57,Sausage - Breakfast,12.2145,3,Low,11/3/2017,Unknown,TRUE,103
58,Dc Hikiage Hira Huba,20.1009,7,Low,10/24/2017,Durable,Unknown,91
59,Pastry - Butterscotch Baked,73.5389,10,High,4/8/2017,Unknown,FALSE,0
60,Pepper - Paprika Hungarian,31.6949,2,Medium,9/29/2017,Weak,Unknown,0
61,Sardines,62.546,8,Low,12/3/2017,Durable,FALSE,90
62,Pears - Bosc,19.5217,1,Medium,9/9/2017,Unknown,Unknown,13
63,Cake - Mini Cheesecake,56.2689,9,Low,8/18/2017,Weak,Unknown,0
64,Vinegar - Sherry,16.5229,6,Low,8/5/2017,Unknown,TRUE,94
65,Brandy - Bar,21.1106,3,High,4/14/2017,Weak,FALSE,0
66,Pie Filling - Cherry,9.8823,7,Medium,5/6/2018,Weak,FALSE,0
67,Wine - Sogrape Mateus Rose,3.7805,5,Low,9/30/2017,Unknown,TRUE,108
68,Beets - Candy Cane Organic,84.8769,6,High,9/4/2017,Durable,FALSE,72
69,Raspberries - Fresh,87.6092,1,Low,10/4/2017,Unknown,TRUE,0
70,Squid - Tubes / Tenticles 10/20,63.1846,4,Low,5/8/2017,Weak,TRUE,45
71,Cheese - Wine,74.4076,6,Low,4/4/2018,Durable,Unknown,0
72,Bar - Granola Trail Mix Fruit Nut,62.2603,4,High,10/13/2017,Durable,FALSE,0
73,Appetizer - Sausage Rolls,48.1907,11,Low,5/17/2017,Weak,TRUE,0
74,Carbonated Water - Cherry,13.6241,7,Medium,4/26/2018,Durable,FALSE,26
75,Chef Hat 20cm,4.18,8,High,9/14/2017,Durable,Unknown,116
76,Wine - Fume Blanc Fetzer,65.6765,6,Low,2/8/2017,Durable,FALSE,95
77,Potatoes - Idaho 100 Count,11.4971,9,Medium,2/4/2018,Durable,FALSE,0
78,Wine - Magnotta - Belpaese,30.4202,4,Medium,9/18/2017,Weak,Unknown,0
79,Pasta - Penne Rigate Dry,9.5045,11,High,7/9/2017,Weak,FALSE,104
80,Wasabi Powder,93.9752,2,High,2/4/2018,Weak,TRUE,0
81,Cookies - Assorted,86.6483,2,Medium,2/8/2017,Unknown,Unknown,0
82,Jolt Cola - Electric Blue,56.8099,5,Low,4/12/2018,Unknown,Unknown,63
83,Lamb - Ground,50.8837,1,High,10/22/2017,Durable,Unknown,116
84,Peas - Frozen,90.3019,1,Medium,8/25/2017,Durable,FALSE,0
85,Cheese - Parmesan Cubes,86.8857,7,High,11/6/2017,Durable,Unknown,0
86,Longos - Grilled Chicken With,18.3791,2,Low,2/28/2018,Weak,FALSE,0
87,Wine - Pinot Noir Latour,3.7847,7,Low,4/2/2017,Unknown,FALSE,0
88,Remy Red,91.996,2,Low,12/19/2017,Durable,Unknown,0
89,Beef - Ground Extra Lean Fresh,36.7281,3,Medium,11/26/2017,Weak,TRUE,0
90,Flavouring - Orange,69.32,9,High,4/30/2018,Unknown,TRUE,37
91,General Purpose Trigger,57.0429,6,High,5/2/2017,Durable,TRUE,97
92,Wine - Red Colio Cabernet,60.2161,1,Low,9/13/2017,Weak,Unknown,0
93,Bandage - Fexible 1x3,8.119,8,Low,6/20/2017,Durable,FALSE,11
